User_ID,Rating_x,Title,Rating_y,Level,Language,Price,URL,Image,Description,Platform,Certificate,Duration,Learning_Type,Enrolled,Reviews,Last_Updated,Category,Instructors,Username,Password
1,2,Accounting Analysis I: Measurement and Disclosure of Assets,4.8,Intermediate ,English,Free To Audit,https://www.coursera.org/learn/accounting-analysis-i:-measurement-and-disclosure-of-assets,,,Coursera,, 1 - 3 Months, Course ,,176,,Accounting,,qoot7kl2,fQf#l5}|Gh}N
1,2,Parallel programming,4.4,Intermediate ,English,Free To Audit,https://www.coursera.org/learn/parallel-programming,,,Coursera,, 1 - 4 Weeks, Course ,,1.8k ,,Algorithms,,qoot7kl2,fQf#l5}|Gh}N
1,2,Packet Switching Networks and Algorithms,4.7,Intermediate ,English,Free To Audit,https://www.coursera.org/learn/packet-switching-networks-and-algorithms,,,Coursera,, 1 - 3 Months, Course ,,418,,Algorithms,,qoot7kl2,fQf#l5}|Gh}N
1,2,Operations Research (3): Theory,5.0,Advanced ,English,Free To Audit,https://www.coursera.org/learn/operations-research-(3):-theory,,,Coursera,, 1 - 3 Months, Course ,,58,,Algorithms,,qoot7kl2,fQf#l5}|Gh}N
1,2,Operations Research (2): Optimization Algorithms,4.8,Intermediate ,English,Free To Audit,https://www.coursera.org/learn/operations-research-(2):-optimization-algorithms,,,Coursera,, 1 - 3 Months, Course ,,104,,Algorithms,,qoot7kl2,fQf#l5}|Gh}N
1,2,Motion Planning for Self-Driving Cars,4.8,Advanced ,English,Free To Audit,https://www.coursera.org/learn/motion-planning-for-self-driving-cars,,,Coursera,, 1 - 3 Months, Course ,,447,,Algorithms,,qoot7kl2,fQf#l5}|Gh}N
1,2,Mathematical Thinking in Computer Science,4.4,Beginner ,English,Free To Audit,https://www.coursera.org/learn/mathematical-thinking-in-computer-science,,,Coursera,, 1 - 3 Months, Course ,,2.2k ,,Algorithms,,qoot7kl2,fQf#l5}|Gh}N
1,2,Mathematical Foundations for Cryptography,4.6,Beginner ,English,Free To Audit,https://www.coursera.org/learn/mathematical-foundations-for-cryptography,,,Coursera,, 1 - 4 Weeks, Course ,,315,,Algorithms,,qoot7kl2,fQf#l5}|Gh}N
1,2,Mastering Programming with MATLAB,4.8,Intermediate ,English,Free To Audit,https://www.coursera.org/learn/mastering-programming-with-matlab,,,Coursera,, 1 - 3 Months, Course ,,383,,Algorithms,,qoot7kl2,fQf#l5}|Gh}N
1,2,Parallel Programming in Java,4.6,Intermediate ,English,Free To Audit,https://www.coursera.org/learn/parallel-programming-in-java,,,Coursera,, 1 - 3 Months, Course ,,1.2k ,,Algorithms,,qoot7kl2,fQf#l5}|Gh}N
