review_id,User_ID,Rating_x,Title,Username,Password,Course_id
12,7,2,Accounting Analysis I: Measurement and Disclosure of Assets,qoot7kl2,fQf#l5}|Gh}N,2577
13,7,2,Parallel programming,qoot7kl2,fQf#l5}|Gh}N,6284
14,7,2,Packet Switching Networks and Algorithms,qoot7kl2,fQf#l5}|Gh}N,6285
15,7,2,Operations Research (3): Theory,qoot7kl2,fQf#l5}|Gh}N,6288
16,7,2,Operations Research (2): Optimization Algorithms,qoot7kl2,fQf#l5}|Gh}N,6289
17,7,2,Motion Planning for Self-Driving Cars,qoot7kl2,fQf#l5}|Gh}N,6294
18,7,2,Mathematical Thinking in Computer Science,qoot7kl2,fQf#l5}|Gh}N,6300
19,7,2,Mathematical Foundations for Cryptography,qoot7kl2,fQf#l5}|Gh}N,6301
20,7,2,Mastering Programming with MATLAB,qoot7kl2,fQf#l5}|Gh}N,6302
21,7,2,Parallel Programming in Java,qoot7kl2,fQf#l5}|Gh}N,6307
22,7,2,Pattern Discovery in Data Mining,qoot7kl2,fQf#l5}|Gh}N,6309
23,7,2,Programming for Everybody (Getting Started with Python),qoot7kl2,fQf#l5}|Gh}N,6315
24,7,2,Principles of Computing (Part 2),qoot7kl2,fQf#l5}|Gh}N,6326
25,7,2,Principles of Computing (Part 1),qoot7kl2,fQf#l5}|Gh}N,6329
26,7,2,Genome Assembly Programming Challenge,qoot7kl2,fQf#l5}|Gh}N,6341
27,7,2,Fundamentals of Java Programming,qoot7kl2,fQf#l5}|Gh}N,6342
28,7,2,Foundations of Computer Science,qoot7kl2,fQf#l5}|Gh}N,6344
29,7,2,Ethical Issues in AI and Professional Ethics,qoot7kl2,fQf#l5}|Gh}N,6348
30,7,2,Discrete Optimization,qoot7kl2,fQf#l5}|Gh}N,6353
31,7,2,Development of Real-Time Systems,qoot7kl2,fQf#l5}|Gh}N,6357
32,7,3,JaverianaX: Photoshop: una herramienta para presentaciones innovadoras,qoot7kl2,fQf#l5}|Gh}N,460
33,7,3,Building Data Visualization Tools,qoot7kl2,fQf#l5}|Gh}N,6395
34,7,3,Biomedical Visualisation,qoot7kl2,fQf#l5}|Gh}N,6412
35,7,3,Bioconductor for Genomic Data Science,qoot7kl2,fQf#l5}|Gh}N,6413
36,7,3,Bayesian Statistics: Techniques and Models,qoot7kl2,fQf#l5}|Gh}N,6416
37,7,3,Bayesian Statistics: From Concept to Data Analysis,qoot7kl2,fQf#l5}|Gh}N,6417
38,7,3,Building R Packages,qoot7kl2,fQf#l5}|Gh}N,6420
39,7,3,Bayesian Statistics,qoot7kl2,fQf#l5}|Gh}N,6433
40,7,3,Computer Vision Basics,qoot7kl2,fQf#l5}|Gh}N,6439
41,7,3,Camera and Imaging,qoot7kl2,fQf#l5}|Gh}N,6441
42,7,3,Business Writing,qoot7kl2,fQf#l5}|Gh}N,6445
43,7,3,Artificial Intelligence on Microsoft Azure,qoot7kl2,fQf#l5}|Gh}N,6448
44,7,3,A Complete Reinforcement Learning System (Capstone),qoot7kl2,fQf#l5}|Gh}N,6452
45,7,3,3D Reconstruction - Single Viewpoint,qoot7kl2,fQf#l5}|Gh}N,6453
46,7,3,AR (Augmented Reality) & Video Streaming Services Emerging Technologies,qoot7kl2,fQf#l5}|Gh}N,6478
47,7,3,Applying Data Analytics in Finance,qoot7kl2,fQf#l5}|Gh}N,6479
48,7,3,Advanced AI Techniques for the Supply Chain,qoot7kl2,fQf#l5}|Gh}N,6489
49,7,3,AI and Climate Change,qoot7kl2,fQf#l5}|Gh}N,6502
50,7,3,Introduction to Business Analytics with R,qoot7kl2,fQf#l5}|Gh}N,6742
51,7,4,HarvardX: The Architectural Imagination,qoot7kl2,fQf#l5}|Gh}N,60
52,7,4,UPValenciaX: Marketing digital en redes sociales,qoot7kl2,fQf#l5}|Gh}N,131
53,7,4,HarvardX: Pyramids of Giza: Ancient Egyptian Art and Archaeology,qoot7kl2,fQf#l5}|Gh}N,143
54,7,4,TecdeMonterreyX: Liderazgo y comportamiento organizacional,qoot7kl2,fQf#l5}|Gh}N,200
55,7,4,TokyoTechX: Japanese Architecture and Structural Design,qoot7kl2,fQf#l5}|Gh}N,218
56,7,4,DelftX: Sustainable Building with Timber,qoot7kl2,fQf#l5}|Gh}N,352
57,7,4,UPValenciaX: Sustainability in Architecture: An Interdisciplinary Introduction,qoot7kl2,fQf#l5}|Gh}N,402
58,7,4,UQx: Introduction to Korean Studies,qoot7kl2,fQf#l5}|Gh}N,424
59,7,4,"WageningenX: Circular Fashion: Design, Science and Value in a Sustainable Clothing Industry",qoot7kl2,fQf#l5}|Gh}N,457
60,7,5,TUMx: Lean Production,qoot7kl2,fQf#l5}|Gh}N,0
61,7,5,UWashingtonX: Preparing to Network in English,qoot7kl2,fQf#l5}|Gh}N,1
62,7,5,"UPValenciaX: Power BI para los negocios, herramientas de productividad",qoot7kl2,fQf#l5}|Gh}N,2
63,7,5,HP: From Code to Creation: Mastering Game Programming,qoot7kl2,fQf#l5}|Gh}N,3
64,7,5,FedericaX: Robotics Foundations I - Robot Modeling,qoot7kl2,fQf#l5}|Gh}N,5
65,7,5,"UMD, USMx: Marketing Innovative Products and Services",qoot7kl2,fQf#l5}|Gh}N,6
66,7,5,"ISCEA: Sustainable Supply Chain Planning, Sourcing, and Procurement",qoot7kl2,fQf#l5}|Gh}N,7
67,7,5,AlaskaX: GIS Image Analysis in ArcGIS Pro,qoot7kl2,fQf#l5}|Gh}N,8
68,7,5,RITx: Data Representation and Visualization in Tableau,qoot7kl2,fQf#l5}|Gh}N,9
69,7,5,IMFx: Macroeconomic Diagnostics,qoot7kl2,fQf#l5}|Gh}N,10
70,7,5,SDGAcademyX: Tech for Good: The Role of ICT in Achieving the SDGs,qoot7kl2,fQf#l5}|Gh}N,11
71,7,5,"MITx: Circuits and Electronics 2: Amplification, Speed, and Delay",qoot7kl2,fQf#l5}|Gh}N,12
72,7,5,UBCx: How to Code: Complex Data,qoot7kl2,fQf#l5}|Gh}N,13
73,7,5,IDBx: Liderazgo femenino: potencia tus habilidades e impulsa el cambio,qoot7kl2,fQf#l5}|Gh}N,15
74,7,5,DelftX: Calculus II: Multivariable Functions,qoot7kl2,fQf#l5}|Gh}N,16
75,7,5,NYIF: Risk Management and Credit Principles,qoot7kl2,fQf#l5}|Gh}N,17
76,7,5,"SDGAcademyX: One Planet, One Ocean",qoot7kl2,fQf#l5}|Gh}N,18
77,7,5,State-Bank-of-India: Relationship Marketing Strategy for Financial Services,qoot7kl2,fQf#l5}|Gh}N,19
78,7,5,UBCx: Video Game Writing Essentials,qoot7kl2,fQf#l5}|Gh}N,20
79,8,1,Accounting Analysis I: Measurement and Disclosure of Assets,byvd7bix,F4l^k<4p:Z{<,2577
80,8,2,Parallel programming,byvd7bix,F4l^k<4p:Z{<,6284
81,8,2,Packet Switching Networks and Algorithms,byvd7bix,F4l^k<4p:Z{<,6285
82,8,2,Operations Research (3): Theory,byvd7bix,F4l^k<4p:Z{<,6288
83,8,2,Operations Research (2): Optimization Algorithms,byvd7bix,F4l^k<4p:Z{<,6289
84,8,2,Motion Planning for Self-Driving Cars,byvd7bix,F4l^k<4p:Z{<,6294
85,8,2,Mathematical Thinking in Computer Science,byvd7bix,F4l^k<4p:Z{<,6300
86,8,2,Mathematical Foundations for Cryptography,byvd7bix,F4l^k<4p:Z{<,6301
87,8,2,Mastering Programming with MATLAB,byvd7bix,F4l^k<4p:Z{<,6302
88,8,2,Parallel Programming in Java,byvd7bix,F4l^k<4p:Z{<,6307
89,8,2,Pattern Discovery in Data Mining,byvd7bix,F4l^k<4p:Z{<,6309
90,8,2,Programming for Everybody (Getting Started with Python),byvd7bix,F4l^k<4p:Z{<,6315
91,8,2,Principles of Computing (Part 2),byvd7bix,F4l^k<4p:Z{<,6326
92,8,2,Principles of Computing (Part 1),byvd7bix,F4l^k<4p:Z{<,6329
93,8,2,Genome Assembly Programming Challenge,byvd7bix,F4l^k<4p:Z{<,6341
94,8,2,Fundamentals of Java Programming,byvd7bix,F4l^k<4p:Z{<,6342
95,8,2,Foundations of Computer Science,byvd7bix,F4l^k<4p:Z{<,6344
